YSAMP_N,WATER,SITE_N,DATE_SET,DATE_COL,TIME_START,TIME_END,SEASON,DAY_N,MONTH,YEAR,DSAMP_N,EFFORT,EFFORT_UNIT,GEAR,GEAR_CODE,GEAR_CODE2,NUMBER_ANGLERS,ANGLER_NAMES,ANGLER_LOC,ANGLER_HOURS,ANGLER_TRIPS,NET_N,NET_LEN,NET_HGT,TEMP_SAMP,CONDUCTIVITY,DEPTH,DEPTH_MAX,DEPTH_MIN,CL_COVER,DRIVER,CREW,SHB_N,REACH_LENGTH_M,PROJECT,COMMENTS
BEF.FBL.2017.008,FBL,BEF.FBL.008,,5/15/2017,1/0/1900 22:45,1/0/1900 23:05,S,135,5,2017,8,395,SECONDS,BEF,NAF,,,,,,,,,,9,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.009,FBL,BEF.FBL.009,,5/15/2017,1/0/1900 23:14,1/0/1900 23:22,S,135,5,2017,9,172,SECONDS,BEF,NAF,,,,,,,,,,9,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.010,FBL,BEF.FBL.010,,5/15/2017,1/0/1900 23:24,1/0/1900 23:35,S,135,5,2017,10,246,SECONDS,BEF,NAF,,,,,,,,,,10,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.011,FBL,BEF.FBL.011,,5/15/2017,1/0/1900 23:37,1/0/1900 23:57,S,135,5,2017,11,305,SECONDS,BEF,NAF,,,,,,,,,,10,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.012,FBL,BEF.FBL.012,,5/15/2017,1/0/1900 23:58,1/0/1900 0:18,S,135,5,2017,12,430,SECONDS,BEF,NAF,,,,,,,,,,10,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.013,FBL,BEF.FBL.013,,5/16/2017,1/0/1900 0:31,1/0/1900 0:45,S,136,5,2017,1,332,SECONDS,BEF,NAF,,,,,,,,,,10,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.014,FBL,BEF.FBL.014,,5/16/2017,1/0/1900 0:48,1/0/1900 1:04,S,136,5,2017,2,379,SECONDS,BEF,NAF,,,,,,,,,,10,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.015,FBL,BEF.FBL.015,,5/16/2017,1/0/1900 1:27,1/0/1900 2:02,S,136,5,2017,3,777,SECONDS,BEF,NAF,,,,,,,,,,10,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.016,FBL,BEF.FBL.001,,5/30/2017,1/0/1900 13:08,1/0/1900 13:21,S,150,5,2017,1,276,SECONDS,BEF,DBO,,,,,,,,,,15,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.017,FBL,BEF.FBL.002,,5/30/2017,1/0/1900 13:25,1/0/1900 13:41,S,150,5,2017,2,279,SECONDS,BEF,DBO,,,,,,,,,,15,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.018,FBL,BEF.FBL.003,,5/30/2017,1/0/1900 13:43,1/0/1900 13:53,S,150,5,2017,3,158,SECONDS,BEF,DBO,,,,,,,,,,15,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.019,FBL,BEF.FBL.004,,5/30/2017,1/0/1900 13:55,1/0/1900 14:01,S,150,5,2017,4,130,SECONDS,BEF,DBO,,,,,,,,,,15,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.020,FBL,BEF.FBL.005,,5/30/2017,1/0/1900 14:04,1/0/1900 14:24,S,150,5,2017,5,537,SECONDS,BEF,DBO,,,,,,,,,,15,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.021,FBL,BEF.FBL.006,,5/30/2017,1/0/1900 14:27,1/0/1900 14:52,S,150,5,2017,6,553,SECONDS,BEF,DBO,,,,,,,,,,16,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.022,FBL,BEF.FBL.007,,5/30/2017,1/0/1900 14:55,1/0/1900 15:17,S,150,5,2017,7,423,SECONDS,BEF,DBO,,,,,,,,,,15.5,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.023,FBL,BEF.FBL.008,,5/30/2017,1/0/1900 15:22,1/0/1900 15:43,S,150,5,2017,8,439,SECONDS,BEF,DBO,,,,,,,,,,15,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.024,FBL,BEF.FBL.009,,5/30/2017,1/0/1900 15:46,1/0/1900 15:57,S,150,5,2017,9,163,SECONDS,BEF,DBO,,,,,,,,,,15,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.025,FBL,BEF.FBL.010,,5/30/2017,1/0/1900 15:59,1/0/1900 16:12,S,150,5,2017,10,213,SECONDS,BEF,DBO,,,,,,,,,,15,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.026,FBL,BEF.FBL.011,,5/30/2017,1/0/1900 16:20,1/0/1900 16:38,S,150,5,2017,11,318,SECONDS,BEF,DBO,,,,,,,,,,15,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.027,FBL,BEF.FBL.012,,5/30/2017,1/0/1900 16:42,1/0/1900 17:28,S,150,5,2017,12,509,SECONDS,BEF,DBO,,,,,,,,,,14,,,,,,KJJ,"KJJ, EAB",,,,Stopped for 18 min due to thunder/lightening storms
BEF.FBL.2017.028,FBL,BEF.FBL.013,,5/30/2017,1/0/1900 17:50,1/0/1900 17:58,S,150,5,2017,13,140,SECONDS,BEF,DBO,,,,,,,,,,14.5,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.029,FBL,BEF.FBL.014,,5/30/2017,1/0/1900 18:00,1/0/1900 18:40,S,150,5,2017,14,695,SECONDS,BEF,DBO,,,,,,,,,,14,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.030,FBL,BEF.FBL.015,,5/30/2017,1/0/1900 18:47,1/0/1900 19:18,S,150,5,2017,15,576,SECONDS,BEF,DBO,,,,,,,,,,14,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.031,FBL,BEF.FBL.001,,6/5/2017,1/0/1900 12:44,1/0/1900 12:54,S,156,5,2017,1,215,SECONDS,BEF,DBO,,,,,,,,,,15,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.032,FBL,BEF.FBL.002,,6/5/2017,1/0/1900 12:57,1/0/1900 13:12,S,156,5,2017,2,204,SECONDS,BEF,DBO,,,,,,,,,,15,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.033,FBL,BEF.FBL.003,,6/5/2017,1/0/1900 13:14,1/0/1900 13:22,S,156,5,2017,3,136,SECONDS,BEF,DBO,,,,,,,,,,15,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.034,FBL,BEF.FBL.004,,6/5/2017,1/0/1900 13:25,1/0/1900 13:34,S,156,5,2017,4,135,SECONDS,BEF,DBO,,,,,,,,,,15,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.035,FBL,BEF.FBL.005,,6/5/2017,1/0/1900 13:37,1/0/1900 13:53,S,156,5,2017,5,416,SECONDS,BEF,DBO,,,,,,,,,,15,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.036,FBL,BEF.FBL.006,,6/5/2017,1/0/1900 13:56,1/0/1900 14:17,S,156,5,2017,6,552,SECONDS,BEF,DBO,,,,,,,,,,15,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.037,FBL,BEF.FBL.007,,6/5/2017,1/0/1900 14:20,1/0/1900 14:45,S,156,5,2017,7,276,SECONDS,BEF,DBO,,,,,,,,,,16,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.038,FBL,BEF.FBL.008,,6/5/2017,1/0/1900 14:47,1/0/1900 15:04,S,156,5,2017,8,375,SECONDS,BEF,DBO,,,,,,,,,,15.5,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.039,FBL,BEF.FBL.009,,6/5/2017,1/0/1900 15:07,1/0/1900 15:16,S,156,5,2017,9,145,SECONDS,BEF,DBO,,,,,,,,,,15.5,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.040,FBL,BEF.FBL.010,,6/5/2017,1/0/1900 15:31,1/0/1900 15:52,S,156,5,2017,10,373,SECONDS,BEF,DBO,,,,,,,,,,16,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.041,FBL,BEF.FBL.011,,6/5/2017,1/0/1900 15:55,1/0/1900 16:13,S,156,5,2017,11,280,SECONDS,BEF,DBO,,,,,,,,,,16,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.042,FBL,BEF.FBL.012,,6/5/2017,1/0/1900 16:17,1/0/1900 16:45,S,156,5,2017,12,563,SECONDS,BEF,DBO,,,,,,,,,,15.5,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.043,FBL,BEF.FBL.013,,6/5/2017,1/0/1900 16:48,1/0/1900 16:55,S,156,5,2017,13,97,SECONDS,BEF,DBO,,,,,,,,,,16,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.044,FBL,BEF.FBL.014,,6/5/2017,1/0/1900 16:58,1/0/1900 17:27,S,156,5,2017,14,382,SECONDS,BEF,DBO,,,,,,,,,,15.5,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.045,FBL,BEF.FBL.015,,6/5/2017,1/0/1900 17:32,1/0/1900 18:03,S,156,5,2017,15,478,SECONDS,BEF,DBO,,,,,,,,,,16,,,,,,KJJ,"KJJ, EAB",,,,
BEF.FBL.2017.046,FBL,BEF.FBL.001,,9/18/2017,1/0/1900 19:39,1/0/1900 19:53,F,261,9,2017,1,339,SECONDS,BEF,NAF,,,,,,,,,,20,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.047,FBL,BEF.FBL.002,,9/18/2017,1/0/1900 19:56,1/0/1900 20:11,F,261,9,2017,2,387,SECONDS,BEF,NAF,,,,,,,,,,20,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.048,FBL,BEF.FBL.003,,9/18/2017,1/0/1900 20:13,1/0/1900 20:23,F,261,9,2017,3,234,SECONDS,BEF,NAF,,,,,,,,,,20,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.049,FBL,BEF.FBL.004,,9/18/2017,1/0/1900 20:24,1/0/1900 20:31,F,261,9,2017,4,162,SECONDS,BEF,NAF,,,,,,,,,,20,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.050,FBL,BEF.FBL.005,,9/18/2017,1/0/1900 20:34,1/0/1900 20:45,F,261,9,2017,5,234,SECONDS,BEF,NAF,,,,,,,,,,20,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.051,FBL,BEF.FBL.006,,9/18/2017,1/0/1900 20:46,1/0/1900 21:14,F,261,9,2017,6,397,SECONDS,BEF,NAF,,,,,,,,,,20,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.052,FBL,BEF.FBL.007,,9/18/2017,1/0/1900 21:15,1/0/1900 21:36,F,261,9,2017,7,521,SECONDS,BEF,NAF,,,,,,,,,,20,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.053,FBL,BEF.FBL.008,,9/18/2017,1/0/1900 21:39,1/0/1900 22:03,F,261,9,2017,8,550,SECONDS,BEF,NAF,,,,,,,,,,20,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.054,FBL,BEF.FBL.009,,9/18/2017,1/0/1900 22:11,1/0/1900 22:23,F,261,9,2017,9,291,SECONDS,BEF,NAF,,,,,,,,,,20,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.055,FBL,BEF.FBL.010,,9/18/2017,1/0/1900 22:24,1/0/1900 22:38,F,261,9,2017,10,340,SECONDS,BEF,NAF,,,,,,,,,,20,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.056,FBL,BEF.FBL.011,,9/18/2017,1/0/1900 22:44,1/0/1900 23:04,F,261,9,2017,11,441,SECONDS,BEF,NAF,,,,,,,,,,20,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.057,FBL,BEF.FBL.012,,9/18/2017,1/0/1900 23:06,1/0/1900 23:31,F,261,9,2017,12,601,SECONDS,BEF,NAF,,,,,,,,,,19,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.058,FBL,BEF.FBL.013,,9/19/2017,1/0/1900 0:01,1/0/1900 0:15,F,262,9,2017,13,380,SECONDS,BEF,NAF,,,,,,,,,,19,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.059,FBL,BEF.FBL.014,,9/19/2017,1/0/1900 0:21,1/0/1900 0:42,F,262,9,2017,14,552,SECONDS,BEF,NAF,,,,,,,,,,19,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2017.060,FBL,BEF.FBL.015,,9/19/2017,1/0/1900 0:45,1/0/1900 1:25,F,262,9,2017,15,1112,SECONDS,BEF,NAF,,,,,,,,,,19,,,,,,KJJ,"KJJ, EAB, BMQ, DCJ",,,,
BEF.FBL.2018.001,FBL,BEF.FBL.001,,5/14/2018,1/0/1900 20:49,1/0/1900 21:03,S,134,5,2018,1,318,SECONDS,BEF,NAF,,,,,,,,,,13,,,,,,KJJ,"KJJ, EAB, DCJ, BMQ",,,,
BEF.FBL.2018.002,FBL,BEF.FBL.002,,5/14/2018,1/0/1900 21:07,1/0/1900 21:21,S,134,5,2018,2,330,SECONDS,BEF,NAF,,,,,,,,,,13,,,,,,KJJ,"KJJ, EAB, DCJ, BMQ",,,,
BEF.FBL.2018.003,FBL,BEF.FBL.003,,5/14/2018,1/0/1900 21:22,1/0/1900 21:31,S,134,5,2018,3,165,SECONDS,BEF,NAF,,,,,,,,,,13,,,,,,KJJ,"KJJ, EAB, DCJ, BMQ",,,,
BEF.FBL.2018.004,FBL,BEF.FBL.004,,5/14/2018,1/0/1900 21:32,1/0/1900 21:38,S,134,5,2018,4,99,SECONDS,BEF,NAF,,,,,,,,,,13,,,,,,KJJ,"KJJ, EAB, DCJ, BMQ",,,,
BEF.FBL.2018.005,FBL,BEF.FBL.005,,5/14/2018,1/0/1900 21:46,1/0/1900 21:58,S,134,5,2018,5,277,SECONDS,BEF,NAF,,,,,,,,,,13,,,,,,KJJ,"KJJ, EAB, DCJ, BMQ",,,,
BEF.FBL.2018.006,FBL,BEF.FBL.006,,5/14/2018,1/0/1900 21:59,1/0/1900 22:12,S,134,5,2018,6,296,SECONDS,BEF,NAF,,,,,,,,,,13,,,,,,KJJ,"KJJ, EAB, DCJ, BMQ",,,,
BEF.FBL.2018.007,FBL,BEF.FBL.007,,5/14/2018,1/0/1900 22:13,1/0/1900 22:35,S,134,5,2018,7,443,SECONDS,BEF,NAF,,,,,,,,,,13,,,,,,KJJ,"KJJ, EAB, DCJ, BMQ",,,,
BEF.FBL.2018.008,FBL,BEF.FBL.008,,5/14/2018,1/0/1900 22:37,1/0/1900 22:56,S,134,5,2018,8,398,SECONDS,BEF,NAF,,,,,,,,,,13,,,,,,KJJ,"KJJ, EAB, DCJ, BMQ",,,,
BEF.FBL.2018.009,FBL,BEF.FBL.009,,5/14/2018,1/0/1900 23:03,1/0/1900 23:13,S,134,5,2018,9,196,SECONDS,BEF,NAF,,,,,,,,,,13,,,,,,KJJ,"KJJ, EAB, DCJ, BMQ",,,,
BEF.FBL.2018.010,FBL,BEF.FBL.010,,5/14/2018,1/0/1900 23:14,1/0/1900 23:26,S,134,5,2018,10,232,SECONDS,BEF,NAF,,,,,,,,,,11,,,,,,KJJ,"KJJ, EAB, DCJ, BMQ",,,,
BEF.FBL.2018.011,FBL,BEF.FBL.011,,5/14/2018,1/0/1900 23:27,1/0/1900 23:45,S,134,5,2018,11,352,SECONDS,BEF,NAF,,,,,,,,,,10.5,,,,,,KJJ,"KJJ, EAB, DCJ, BMQ",,,,
BEF.FBL.2018.012,FBL,BEF.FBL.012,,5/14/2018,1/0/1900 23:47,1/0/1900 0:07,S,134,5,2018,12,407,SECONDS,BEF,NAF,,,,,,,,,,10.5,,,,,,KJJ,"KJJ, EAB, DCJ, BMQ",,,,
BEF.FBL.2018.013,FBL,BEF.FBL.013,,5/15/2018,1/0/1900 0:44,1/0/1900 0:59,S,135,5,2018,1,357,SECONDS,BEF,NAF,,,,,,,,,,11,,,,,,KJJ,"KJJ, EAB, DCJ, BMQ",,,,
BEF.FBL.2018.014,FBL,BEF.FBL.014,,5/15/2018,1/0/1900 1:00,1/0/1900 1:17,S,135,5,2018,2,419,SECONDS,BEF,NAF,,,,,,,,,,12,,,,,,KJJ,"KJJ, EAB, DCJ, BMQ",,,,
BEF.FBL.2018.015,FBL,BEF.FBL.015,,5/15/2018,1/0/1900 1:20,1/0/1900 1:55,S,135,5,2018,3,715,SECONDS,BEF,NAF,,,,,,,,,,12,,,,,,KJJ,"KJJ, EAB, DCJ, BMQ",,,,
BEF.FBL.2018.016,FBL,BEF.FBL.001,,5/29/2018,1/0/1900 13:02,1/0/1900 13:12,S,149,5,2018,1,185,SECONDS,BEF,DBO,,,,,,,,,,19.5,,,,,,KJJ,"KJJ, BMQ",,,,
BEF.FBL.2018.017,FBL,BEF.FBL.002,,5/29/2018,1/0/1900 13:17,1/0/1900 13:27,S,149,5,2018,2,188,SECONDS,BEF,DBO,,,,,,,,,,19.5,,,,,,KJJ,"KJJ, BMQ",,,,
BEF.FBL.2018.018,FBL,BEF.FBL.003,,5/29/2018,1/0/1900 13:31,1/0/1900 13:42,S,149,5,2018,3,175,SECONDS,BEF,DBO,,,,,,,,,,20,,,,,,KJJ,"KJJ, BMQ",,,,
BEF.FBL.2018.019,FBL,BEF.FBL.004,,5/29/2018,1/0/1900 13:48,1/0/1900 13:54,S,149,5,2018,4,128,SECONDS,BEF,DBO,,,,,,,,,,20,,,,,,KJJ,"KJJ, BMQ",,,,
BEF.FBL.2018.020,FBL,BEF.FBL.005,,5/29/2018,1/0/1900 13:58,1/0/1900 14:08,S,149,5,2018,5,186,SECONDS,BEF,DBO,,,,,,,,,,20,,,,,,KJJ,"KJJ, BMQ",,,,
BEF.FBL.2018.021,FBL,BEF.FBL.006,,5/29/2018,1/0/1900 14:11,1/0/1900 14:23,S,149,5,2018,6,156,SECONDS,BEF,DBO,,,,,,,,,,20,,,,,,KJJ,"KJJ, BMQ",,,,
BEF.FBL.2018.022,FBL,BEF.FBL.007,,5/29/2018,1/0/1900 14:28,1/0/1900 14:46,S,149,5,2018,7,304,SECONDS,BEF,DBO,,,,,,,,,,20,,,,,,KJJ,"KJJ, BMQ",,,,
BEF.FBL.2018.023,FBL,BEF.FBL.008,,5/29/2018,1/0/1900 14:50,1/0/1900 15:05,S,149,5,2018,8,257,SECONDS,BEF,DBO,,,,,,,,,,20,,,,,,KJJ,"KJJ, BMQ",,,,
BEF.FBL.2018.024,FBL,BEF.FBL.009,,5/29/2018,1/0/1900 15:10,1/0/1900 15:18,S,149,5,2018,9,157,SECONDS,BEF,DBO,,,,,,,,,,20,,,,,,KJJ,"KJJ, BMQ",,,,
BEF.FBL.2018.025,FBL,BEF.FBL.010,,5/29/2018,1/0/1900 15:26,1/0/1900 15:34,S,149,5,2018,10,135,SECONDS,BEF,DBO,,,,,,,,,,20,,,,,,KJJ,"KJJ, BMQ",,,,
BEF.FBL.2018.026,FBL,BEF.FBL.011,,5/29/2018,1/0/1900 15:39,1/0/1900 15:54,S,149,5,2018,11,284,SECONDS,BEF,DBO,,,,,,,,,,20,,,,,,KJJ,"KJJ, BMQ",,,,
BEF.FBL.2018.027,FBL,BEF.FBL.012,,5/29/2018,1/0/1900 15:59,1/0/1900 16:14,S,149,5,2018,12,275,SECONDS,BEF,DBO,,,,,,,,,,20,,,,,,KJJ,"KJJ, BMQ",,,,
BEF.FBL.2018.028,FBL,BEF.FBL.013,,5/29/2018,1/0/1900 16:20,1/0/1900 16:29,S,149,5,2018,13,165,SECONDS,BEF,DBO,,,,,,,,,,21.5,,,,,,KJJ,"KJJ, BMQ",,,,
BEF.FBL.2018.029,FBL,BEF.FBL.014,,5/29/2018,1/0/1900 16:32,1/0/1900 16:56,S,149,5,2018,14,267,SECONDS,BEF,DBO,,,,,,,,,,21.5,,,,,,KJJ,"KJJ, BMQ",,,,
BEF.FBL.2018.030,FBL,BEF.FBL.015,,5/29/2018,1/0/1900 17:02,1/0/1900 17:29,S,149,5,2018,15,453,SECONDS,BEF,DBO,,,,,,,,,,20.5,,,,,,KJJ,"KJJ, BMQ",,,,
BEF.FBL.2018.031,FBL,BEF.FBL.001,,6/4/2018,1/0/1900 14:10,1/0/1900 14:23,S,155,6,2018,1,138,SECONDS,BEF,DBO,,,,,,,,,,17.5,,,,,,KJJ,"KJJ, EAB, MC",,,,
BEF.FBL.2018.032,FBL,BEF.FBL.002,,6/4/2018,1/0/1900 14:26,1/0/1900 14:40,S,155,6,2018,2,256,SECONDS,BEF,DBO,,,,,,,,,,17.5,,,,,,KJJ,"KJJ, EAB, MC",,,,
BEF.FBL.2018.033,FBL,BEF.FBL.003,,6/4/2018,1/0/1900 14:42,1/0/1900 14:50,S,155,6,2018,3,105,SECONDS,BEF,DBO,,,,,,,,,,17.5,,,,,,KJJ,"KJJ, EAB, MC",,,,
BEF.FBL.2018.034,FBL,BEF.FBL.004,,6/4/2018,1/0/1900 14:52,1/0/1900 14:58,S,155,6,2018,4,121,SECONDS,BEF,DBO,,,,,,,,,,17.5,,,,,,KJJ,"KJJ, EAB, MC",,,,
BEF.FBL.2018.035,FBL,BEF.FBL.005,,6/4/2018,1/0/1900 15:04,1/0/1900 15:17,S,155,6,2018,5,333,SECONDS,BEF,DBO,,,,,,,,,,17.5,,,,,,KJJ,"KJJ, EAB, MC",,,,
BEF.FBL.2018.036,FBL,BEF.FBL.006,,6/4/2018,1/0/1900 15:19,1/0/1900 15:30,S,155,6,2018,6,260,SECONDS,BEF,DBO,,,,,,,,,,17.5,,,,,,KJJ,"KJJ, EAB, MC",,,,
BEF.FBL.2018.037,FBL,BEF.FBL.007,,6/4/2018,1/0/1900 15:31,1/0/1900 15:48,S,155,6,2018,7,259,SECONDS,BEF,DBO,,,,,,,,,,17.5,,,,,,KJJ,"KJJ, EAB, MC",,,,
BEF.FBL.2018.038,FBL,BEF.FBL.008,,6/4/2018,1/0/1900 15:50,1/0/1900 16:05,S,155,6,2018,8,229,SECONDS,BEF,DBO,,,,,,,,,,17.5,,,,,,KJJ,"KJJ, EAB, MC",,,,
BEF.FBL.2018.039,FBL,BEF.FBL.009,,6/4/2018,1/0/1900 16:10,1/0/1900 16:18,S,155,6,2018,9,114,SECONDS,BEF,DBO,,,,,,,,,,17.5,,,,,,KJJ,"KJJ, EAB, MC",,,,
BEF.FBL.2018.040,FBL,BEF.FBL.010,,6/4/2018,1/0/1900 16:19,1/0/1900 16:29,S,155,6,2018,10,143,SECONDS,BEF,DBO,,,,,,,,,,17.5,,,,,,KJJ,"KJJ, EAB, MC",,,,
BEF.FBL.2018.041,FBL,BEF.FBL.011,,6/4/2018,1/0/1900 16:30,1/0/1900 16:46,S,155,6,2018,11,304,SECONDS,BEF,DBO,,,,,,,,,,17.5,,,,,,KJJ,"KJJ, EAB, MC",,,,
BEF.FBL.2018.042,FBL,BEF.FBL.012,,6/4/2018,1/0/1900 16:53,1/0/1900 17:10,S,155,6,2018,12,346,SECONDS,BEF,DBO,,,,,,,,,,17.5,,,,,,KJJ,"KJJ, EAB, MC",,,,
BEF.FBL.2018.043,FBL,BEF.FBL.013,,6/4/2018,1/0/1900 17:14,1/0/1900 17:21,S,155,6,2018,13,126,SECONDS,BEF,DBO,,,,,,,,,,17.5,,,,,,KJJ,"KJJ, EAB, MC",,,,
BEF.FBL.2018.044,FBL,BEF.FBL.014,,6/4/2018,1/0/1900 17:22,1/0/1900 18:02,S,155,6,2018,14,435,SECONDS,BEF,DBO,,,,,,,,,,17,,,,,,KJJ,"KJJ, EAB, MC",,,,Hung up in channel for a few minutes.
BEF.FBL.2018.045,FBL,BEF.FBL.015,,6/4/2018,1/0/1900 18:03,1/0/1900 18:28,S,155,6,2018,15,404,SECONDS,BEF,DBO,,,,,,,,,,17,,,,,,KJJ,"KJJ, EAB, MC",,,,
BEF.FBL.2018.046,FBL,BEF.FBL.001,,9/17/2018,1/0/1900 20:00,1/0/1900 20:13,F,260,9,2018,1,309,SECONDS,BEF,NAF,,,,,,,,,,20.5,,,,,,KJJ,"KJJ, EAB, PBM, CSM",,,,
BEF.FBL.2018.047,FBL,BEF.FBL.002,,9/17/2018,1/0/1900 20:16,1/0/1900 20:34,F,260,9,2018,2,432,SECONDS,BEF,NAF,,,,,,,,,,21,,,,,,KJJ,"KJJ, EAB, PBM, CSM",,,,
BEF.FBL.2018.048,FBL,BEF.FBL.003,,9/17/2018,1/0/1900 20:36,1/0/1900 20:45,F,260,9,2018,3,146,SECONDS,BEF,NAF,,,,,,,,,,21,,,,,,KJJ,"KJJ, EAB, PBM, CSM",,,,
BEF.FBL.2018.049,FBL,BEF.FBL.004,,9/17/2018,1/0/1900 20:48,1/0/1900 20:53,F,260,9,2018,4,125,SECONDS,BEF,NAF,,,,,,,,,,21,,,,,,KJJ,"KJJ, EAB, PBM, CSM",,,,
BEF.FBL.2018.050,FBL,BEF.FBL.005,,9/17/2018,1/0/1900 20:57,1/0/1900 21:09,F,260,9,2018,5,236,SECONDS,BEF,NAF,,,,,,,,,,21,,,,,,KJJ,"KJJ, EAB, PBM, CSM",,,,
BEF.FBL.2018.051,FBL,BEF.FBL.006,,9/17/2018,1/0/1900 21:08,1/0/1900 21:32,F,260,9,2018,6,401,SECONDS,BEF,NAF,,,,,,,,,,21,,,,,,KJJ,"KJJ, EAB, PBM, CSM",,,,
BEF.FBL.2018.052,FBL,BEF.FBL.007,,9/17/2018,1/0/1900 21:40,1/0/1900 22:05,F,260,9,2018,7,563,SECONDS,BEF,NAF,,,,,,,,,,21,,,,,,KJJ,"KJJ, EAB, PBM, CSM",,,,
BEF.FBL.2018.053,FBL,BEF.FBL.008,,9/17/2018,1/0/1900 22:09,1/0/1900 22:27,F,260,9,2018,8,510,SECONDS,BEF,NAF,,,,,,,,,,21,,,,,,KJJ,"KJJ, EAB, PBM, CSM",,,,
BEF.FBL.2018.054,FBL,BEF.FBL.009,,9/17/2018,1/0/1900 22:29,1/0/1900 22:40,F,260,9,2018,9,288,SECONDS,BEF,NAF,,,,,,,,,,21,,,,,,KJJ,"KJJ, EAB, PBM, CSM",,,,
BEF.FBL.2018.055,FBL,BEF.FBL.010,,9/17/2018,1/0/1900 22:43,1/0/1900 22:56,F,260,9,2018,10,228,SECONDS,BEF,NAF,,,,,,,,,,21,,,,,,KJJ,"KJJ, EAB, PBM, CSM",,,,
BEF.FBL.2018.056,FBL,BEF.FBL.011,,9/17/2018,1/0/1900 23:04,1/0/1900 23:25,F,260,9,2018,11,474,SECONDS,BEF,NAF,,,,,,,,,,21,,,,,,KJJ,"KJJ, EAB, PBM, CSM",,,,
BEF.FBL.2018.057,FBL,BEF.FBL.012,,9/17/2018,1/0/1900 23:41,1/0/1900 0:01,F,260,9,2018,12,439,SECONDS,BEF,NAF,,,,,,,,,,21,,,,,,KJJ,"KJJ, EAB, PBM, CSM",,,,
