POND #,PONDNAME,DATE,"LONG (NAD83,DD)","LAT (NAD83,DD)",SO4 (mg L-1),NO3 (mg L-1),Cl (mg L-1),F (mg L-1),ANC (µeq L-1),DIC (mg L-1),DOC (mg L-1),TOTAL P1 (mg L-1),TOTAL P2 (mg L-1),SIO2 (mg L-1),Ca (mg L-1),Mg (mg L-1),Na (mg L-1),K (mg L-1),NH4 (mg L-1),TDAl (µg L-1),TAl (µg L-1),Fe (mg L-1),Mn (mg L-1),Pb (mg L-1),Zn (mg L-1),FIELDPH,LAB_pH,AIR_EQ_pH,TRUCOLOR (PtCo),SCONDUCT (µmhos cm-1)
030205,COOLER POND,7/30/1986,74.249325,44.43755556,2.47,0,5.38,0.028,13.1,0.49,10.9,0.088,0.046,0.2,1.02,0.34,3.08,0.27,0,10,,0.155,0.041,0,0.012,5.69,5.65,5.43,35,32.4
030206,JONES POND,7/18/1984,74.20015556,44.45033056,5.94,0,2.5,0.063,322.4,3.54,8,0.014,0,3.8,6.26,2.08,1.79,0.4,0,25,,0.535,0.003,,,6.25,6.89,7.49,70,57.2
030207,SANTA CLARA FLOW,8/7/1986,74.45433333,44.63478056,3.51,,0.97,0.061,215.8,2.67,15.4,,0.035,5.9,4.52,1.2,1.13,0.31,0.01,99,,0.864,0.06,0,0.003,6.78,6.86,7.23,160,36.6
030208,UNNAMED POND,8/20/1985,74.48239167,44.62033611,4.47,0,0.19,0.057,194.1,3.18,7.5,0.024,0.017,0.8,3.66,1.09,0.84,0.41,0.01,,144,0.939,0.019,0,0.005,6.32,6.8,7.15,55,32.2
030214,WHACKERS POND,8/7/1986,74.49683611,44.58339444,4.28,,0.36,0.061,353.8,4.55,9,0.022,0.023,6.8,4.84,1.78,0.82,0.29,0,71,,0.268,0.038,0,0.002,6.96,7.12,7.52,70,47.3
030218,DUCK POND,8/7/1986,74.46238889,44.55755833,2.81,,0.22,0.027,-23.6,0.32,5.4,0.012,0.015,0.2,0.5,0.13,0.1,0.22,0,16,,0.081,0.028,0,0.005,4.56,4.59,4.57,20,16.3
030221,BENZ POND,8/7/1986,74.45155556,44.51589444,3.45,,0.22,0.034,-35.9,0.33,3.9,0.012,0.035,0.4,0.33,0.1,0.08,0.17,0,25,,0.084,0.031,0.001,0.005,4.36,4.42,4.4,15,20.9
030223,UNNAMED POND,8/4/1986,74.500725,44.51867222,6.18,0.04,0.29,0.045,212.8,3.14,3.7,0.01,0.009,8.5,4.33,1.22,1.08,0.36,0.01,36,,0.162,0.008,0.002,0.001,6,6.88,7.33,20,36.6
030225,MADAWASKA POND,8/2/1985,74.39488611,44.51894722,3.32,0.01,0.12,0.055,77.3,2.08,10.5,0.029,,2,2.04,0.56,0.59,0.18,0.03,,78,0.559,0.018,0,0.002,5.74,5.98,6.75,110,19.7
030226,HIDDEN POND,8/7/1986,74.36210556,44.50089167,3.06,0,0.26,0.019,-41.2,0.88,7.4,0.023,0.02,0,0.34,0.09,0.08,0.19,0,23,,0.176,0.018,0,0.003,4.26,4.32,4.32,50,23.6
030244,TOAD POND,7/23/1984,74.31516111,44.4745,4.11,0,0.15,0.038,-36.5,0.49,4.2,0.017,0.013,0.4,0.52,0.08,0.18,0.02,0,54,,0.099,0.027,,,4.45,4.51,4.47,10,20.2
030245,SLUSH POND,7/23/1984,74.31877222,44.46866667,6.52,0.01,0.42,0.062,273.8,3.24,6.3,0.014,,8.7,4.78,0.99,1.08,0.44,0.04,25,,0.48,0.022,,,6.52,6.85,7.38,60,45.4
030249,UNNAMED POND,8/5/1985,74.30432778,44.43616667,6.63,0,0.27,0.053,142.7,3.16,5.6,0.032,0.029,5.6,3.49,0.84,1.22,0.22,,,43,0.104,0.014,0,0.001,6.21,6.53,7.17,25,33
030251,DEER POND,8/1/1986,74.29877222,44.43922222,5.37,0,0.27,0.048,128.7,1.84,7,0.031,0.029,6.8,3.7,0.78,0.95,0.2,0,96,,0.033,0.006,0,0,6.36,6.81,7.08,50,31.8
030252,UNNAMED POND,8/1/1986,74.29349444,44.44644444,2.72,0,0.28,0.032,58.9,2.12,9.8,0.057,0.043,6.7,2.09,0.28,0.62,0.2,0,121,,0.141,0.024,0,0.006,5.71,5.95,6.59,60,18.3
030253,UPPER SPECTACLE POND,7/31/1986,74.29988333,44.41783333,4.44,0,0.27,0.032,100.7,1.33,3.3,0.016,0.01,4.6,2.35,0.55,0.82,0.26,0.01,36,,0.029,0.003,0,0.004,6.48,7.02,6.99,15,25.1
030255,UNNAMED POND,7/17/1985,74.30043889,44.43338889,6.07,0,0.28,0.043,199,2.85,3.4,0.01,0.01,6.3,4.14,1.16,0.98,0.37,0,,17,0.024,0.008,0.001,0.002,6.32,7.11,7.41,15,37.4
030256,BLACK POND,7/17/1985,74.30099444,44.43672222,6.21,0,0.28,0.047,206.4,2.74,3.5,0.01,0.012,6.8,4.22,1.19,0.99,0.37,0,,17,0.023,0.004,0.001,0.002,6.65,7.44,7.43,15,38.2
030257,LONG POND,8/5/1985,74.29293889,44.44561111,6.09,0,0.31,0.051,204.1,3.02,5.8,0.022,,7.8,4.15,1.16,1.1,0.38,,,63,0.209,0.002,0,0.002,6.37,7.09,7.32,55,37.2
030257A,LOWER ST. REGIS LAKE,7/31/1986,74.27043611,44.43172222,4,0,3.07,0.045,229.4,2.75,6.3,0.056,0.046,5.3,3.92,1.32,2.45,0.38,0.01,8,,0.159,0.02,0,0.001,6.77,7.4,7.35,45,48.6
030258,SOUR POND,7/17/1985,74.27460278,44.43255556,2.17,0,0.12,0.019,-34.4,0.82,3.6,0.011,0.007,0.1,0.33,0.15,0.06,0.11,0,,24,0.08,0.029,0.001,0.006,4.51,4.61,4.62,20,14.9
030260,SIMKINS POND,7/9/1985,74.25849167,44.43894444,5.59,0,3.82,0.039,264.3,3.49,3.7,0.035,0.027,6.7,4.53,1.84,1.82,0.7,0.02,,12,0.022,0.004,0,0,6.98,7.34,7.36,25,52.8
030261,GOOSE POND,7/30/1986,74.25849167,44.43977778,3,0.02,4.29,0.069,199.6,4.42,17,0.033,0.045,5.6,4.05,1.36,2.64,0.38,0,77,,0.893,0.062,0,0.011,6.13,6.29,7,280,47.9
030264,SPITFIRE LAKE,7/31/1986,74.25710278,44.42311111,4.24,0,1.58,0.039,166.1,1.96,4.1,0.015,,3.4,3.09,0.88,1.48,0.35,0,2,,0.034,0.004,0,0.004,6.73,7.47,7.28,15,36.7
030266,ROILEY POND,8/7/1986,74.28293889,44.3845,5.04,0,0.28,0.026,31.1,0.79,5.5,0.016,0.012,0,1.66,0.4,0.54,0.3,0,8,,0.055,0.012,0,0,6.27,6.07,6.24,30,20.6
030267,LITTLE LONG POND,8/9/1985,74.29210556,44.38977778,6.42,0,0.31,0.048,40.4,0.57,3.3,0.003,0.003,0.9,2.45,0.5,0.61,0.36,0,,19,0.198,0.004,0.002,0.001,6.36,6.71,6.69,5,23.5
030268,BREAD POND,8/11/1986,74.28071667,44.39033333,2.66,0,0.2,0.055,-14.8,1.4,4.8,0.02,0.02,0,0.5,0.3,0.05,0.03,0,1,,0.064,0.032,0,0.006,4.66,4.68,4.72,30,15.7
030268A,MIKES POND,8/11/1986,74.27682778,44.39116667,2.29,0,0.13,0.044,-5.5,0.8,5.9,0.018,0.015,0,0.44,0.29,0.04,0.36,0,4,,0.057,0.036,0,0.005,4.86,4.88,4.9,25,12.8
030269,HUMDINGER POND,7/8/1985,74.28238333,44.3945,2.63,0,0.18,0.021,4.6,0.47,6.7,0.016,,0,1.07,0.25,0.1,0.47,0,,22,0.064,0.069,0.002,0.005,4.93,5.03,5.02,35,
030270,UNNAMED POND,8/11/1986,74.28155,44.40061111,0.64,0,0.15,0.051,8.5,1.46,7.8,0.036,0.048,0,0.48,0.16,0.1,0.1,0,11,,0.212,0.028,0,0.004,5.12,5.21,5.34,70,7.5
030271,BEAR POND,8/9/1985,74.28599444,44.40172222,6.75,0.05,0.22,0.042,-9.5,0.17,0.7,0.002,0.002,0,1.78,0.29,0.4,0.36,0.02,,83,0.012,0.038,0.001,0.007,5.03,5.01,5.03,0,22.8
030271A,BOG POND (WEST OF BEAR),7/20/1984,74.29043889,44.39394444,4.3,0,0.31,0.074,15.2,1.51,6,0.016,0.016,0.7,1.61,0.26,0.26,0.66,0.08,87,,0.189,0.066,,,5.27,5.29,5.83,40,17.8
030273,BICKFORD POND,7/23/1984,74.31349444,44.39894444,5.42,0,0.23,0.039,2.3,0.36,3.7,0.007,0.008,0,1.42,0.16,0.46,0.27,0,37,,0.082,0.025,,,5.12,5.31,5.23,20,18.2
030274,POTTER POND,7/17/1985,74.29960556,44.42811111,4.79,0,0.23,0.046,-7.6,0.25,5.4,0.01,0.009,1.1,1.4,0.3,0.34,0.48,0,,60,0.068,0.055,0.001,0.002,5.42,5.32,5.28,20,17.6
030301,LONG POND,7/16/1986,75.06242222,44.27895,5.46,0,0.17,0.06,-3.7,0.34,3.1,0.005,0.007,0,1.27,0.2,0.38,0.12,0,142,,0.102,0.101,0,0.007,5.47,5.08,5.04,10,19.4
030302,GREENFIELD POND,8/12/1985,75.07686667,44.26811667,3.94,0,0.03,0.114,7.6,0.52,5.4,0.014,,0,1.7,0.24,0.45,0.15,,,130,0.254,0.023,0.001,0.012,6.14,5.48,5.5,35,17.7
030303,ROUND POND,8/12/1985,75.06853333,44.25783889,4.8,0,0.29,0.102,-0.9,0.37,4.2,0.007,0.006,0,1.7,0.25,0.5,0.19,,,128,0.119,0.073,0.001,0.012,6.08,5.33,5.28,10,19.6
030305,BULLHEAD POND,7/17/1986,75.03686667,44.44339444,2.95,0,0.19,0.117,227.6,5.86,10.1,0.022,,3,3.86,1.04,0.39,0.14,0.02,68,,0.147,0.026,0,0.001,6.24,6.3,7.33,100,31.8
030306,CLEAR LAKE,7/17/1986,75.02464444,44.43533889,5.69,0,0.4,0.11,236.9,2.96,5.8,0.007,0.007,1.5,4.99,0.84,0.4,0.35,0.02,28,,0.036,0.01,0,0,6.73,7.38,7.46,25,39.9
030307,BUCK POND,8/8/1986,75.00464167,44.46783889,2.69,,0.63,0.171,671.8,10.52,13.4,0.036,,5.7,8.7,2.85,0.91,0.55,0.01,62,,0.434,0.066,0.001,0.01,6.36,6.81,7.81,100,72.3
030309,HORSESHOE POND,7/17/1986,75.04381111,44.41200556,3.11,0,0.25,0.115,55,2.36,12.8,0.032,0.053,0.7,1.94,0.45,0.34,0.29,0.04,165,,0.207,0.053,0,0.003,5.65,5.69,6.29,100,18.7
030314,CRANBERRY POND,7/25/1984,74.98491944,44.44534167,5.17,0,0.22,0.226,492.8,5.65,8.5,0.014,0.012,3.9,10.88,1.21,0.48,0.24,0.01,57,,0.044,0.003,,,6.94,7.57,7.7,60,57.6
030315,TWIN POND UPPER,8/16/1985,74.96130833,44.46534167,3.76,0,0.3,0.161,112.8,1.86,10.2,0.02,0.016,0,3.12,0.75,0.61,0.39,0,,92,0.009,0.014,0,0.006,5.85,6.48,6.95,60,26.1
030317,L POND,7/17/1986,74.96630833,44.45895278,5.29,0,0.28,0.124,137.4,1.98,7.3,0.011,0.013,1.7,3.33,0.75,0.44,0.28,0.04,69,,0.076,0.023,0,0.007,6.56,6.82,7.16,45,28.9
030318,MARSH POND,8/16/1985,74.93075,44.44700833,3.48,0,0.22,0.081,-2,1.63,20.7,0.033,,5,2,0.41,0.55,0.06,0,,396,0.165,0.045,0,0.011,5.21,4.7,4.74,200,23.7
030320A,ORMSBEE POND,7/17/1986,74.86546944,44.39284167,4.07,0,0.13,0.16,81.5,2.74,12.3,0.019,0.018,2.5,2.48,0.58,0.49,0.15,0.01,192,,0.203,0.026,0,0.002,5.75,5.98,6.64,100,23.2
030321,LONG POND,7/17/1986,74.82935556,44.38423056,4.88,0,0.22,0.104,76.7,1.65,9.2,0.021,0.017,4.2,2.27,0.61,0.63,0.43,0.01,87,,0.315,0.054,0,0.001,6.06,6.24,6.75,80,24.1
030323,CHURCH POND,7/17/1986,74.76963056,44.37978611,4.66,0.03,0.24,0.097,41.5,0.99,12.1,0.019,,5.1,1.84,0.49,0.57,0.24,0.11,156,,1.033,0.048,0,0.006,5.78,5.82,6.02,220,21.2
030324,EARL POND,7/17/1986,75.09047778,44.40478333,2.59,0,0.21,0.165,46.9,2.71,10.7,0.053,0.039,0.1,1.66,0.37,0.28,0.19,0.03,101,,0.292,0.041,0,0.003,5.65,5.68,6.36,100,16.4
030328,UNNAMED POND,8/8/1986,75.0702,44.40339444,3.33,,0.91,0.12,195,3.99,20.2,0.034,0.036,6.2,4.24,0.95,0.92,0.45,0.04,189,,1.115,0.084,0.002,0.01,6.21,6.25,7.04,300,34.9
030329,BOYD POND,7/17/1986,75.08853333,44.39256111,5.18,0,0.56,0.055,137.8,1.62,7.9,0.01,0.021,2.2,3.29,0.98,0.45,0.19,0,74,,0.045,0,0,0,6.43,6.98,7.18,50,31
030331,PARMETER POND,7/17/1986,74.98936389,44.36256111,2.63,0,0.15,0.091,27.1,1.95,17.7,0.021,0.021,2.6,1.61,0.4,0.5,0.28,0.05,292,,0.812,0.041,0,0.007,5.13,5.18,5.36,200,18.3
030332,TRACY POND,7/17/1986,74.94658333,44.32589444,3.92,0.04,0.2,0.138,140.2,3.04,10.5,0.019,0.026,4.8,2.93,0.76,0.63,0.33,0.06,168,,0.322,0.06,0,0.012,5.98,6.25,7,125,27.2
030333,SLOUCH POND,8/16/1985,74.94825,44.31811667,3.9,0,0.41,0.16,21.6,1.63,9.9,0.01,0.01,1.5,1.69,0.33,0.56,0.12,0,,134,0.24,0.031,0,0.005,4.97,5.34,5.6,70,18.4
030335,BLUE POND,8/8/1985,74.87185833,44.391175,4.73,0,0.23,0.173,176.7,3.06,10.1,0.013,0.014,0.6,3.99,0.99,0.83,0.55,0.03,,76,0.15,0.029,0.001,0.004,6.55,6.66,7.12,60,34.2
030336,LITTLE BLUE POND,8/16/1985,74.81268889,44.34950556,4.99,0,0.3,0.116,132.6,2.2,3.2,0.011,0.01,4.4,2.97,0.76,0.86,0.36,0.01,,40,0.023,0.008,0.001,0.001,6.22,6.87,7.18,10,28.3
030337,CLEAR POND,8/16/1985,74.80935556,44.33700556,5.9,0.02,0.32,0.125,206.3,2.84,3.2,0.009,0.007,4,4.23,1,1.1,0.55,0.02,,45,0.057,0.004,0.001,0.002,5.96,7.24,7.22,10,37
030341,PLEASANT LAKE,8/16/1985,74.85519167,44.33561667,5.46,0,0.27,0.148,108,1.58,4,0.016,0.017,2.2,3.06,0.75,0.74,0.31,0,,118,0.02,0.003,0.001,0.003,6.32,6.96,7.04,15,28.1
030342,MILE POND,8/16/1985,74.97936389,44.34006111,4.43,0,0.23,0.182,227.8,4.9,7.3,0.014,0.014,6.5,4.69,1.04,0.76,0.34,0,,43,0.358,0.082,0.001,0.005,5.86,6.52,7.31,60,37
030343,ALLEN POND,7/31/1986,74.99741944,44.34311667,4.28,0,0.38,0.089,16.6,0.46,4.1,0.02,0.014,0.5,1.82,0.33,0.46,0.26,0.01,43,,0.07,0.062,0,0.008,5.08,5.93,6.04,20,18.4
030343A,PINE MARSH POND,7/31/1986,75.01353056,44.35200556,2.52,0,0.22,0.143,39.4,2.4,10.3,0.042,0.041,2.1,1.89,0.27,0.39,0.23,0.06,154,,0.613,0.059,0,0.009,4.93,5.61,6.16,140,17.1
030344,LITTLE MOOSEHEAD POND,7/17/1986,74.95186111,44.24256111,5.48,0.07,0.24,0.155,154.8,3.4,11.8,0.025,,7.4,3.57,0.98,0.84,0.33,0.06,167,,0.736,0.114,0,0.004,6.12,6.26,6.97,120,33.2
030345,MOOSEHEAD POND,8/23/1985,74.95047222,44.24783889,5.04,0,0.32,0.081,82,0.88,4.5,0.01,0.017,0.1,2.53,0.66,0.53,0,,,18,0.026,0.006,0,0.003,6.74,7.01,6.79,15,24.3
030348,BROTHER POND,7/17/1986,74.83907778,44.28672778,3.68,0,0.16,0.072,37.2,2.46,14.7,0.024,0.02,2,1.77,0.46,0.4,0.2,0.01,205,,0.913,0.005,0,0.009,5.24,5.29,5.54,200,20.2
030348A,UNNAMED POND,7/17/1986,74.85157778,44.28839444,3.26,0,0.13,0.088,71.9,2.87,14,,0.019,4.1,2.19,0.49,0.58,0.13,0.01,187,,0.544,0.004,0,0.025,5.76,5.8,6.46,140,20.3
030349,BROTHER POND,7/17/1986,74.83907778,44.28867222,3.55,0.04,0.21,0.095,84.8,2.99,22.1,0.026,0.018,5.7,2.7,0.68,0.56,0.26,0.06,178,,0.034,0.006,0,0.008,5.5,5.61,6.04,300,25.1
030350,MASSAWEPIE POND,8/16/1985,74.82991111,44.29256111,4.88,0,0.3,0.145,202.2,4.12,10.4,0.015,0.015,5.6,4.2,1.2,0.94,0.47,0.14,,50,0.81,0.144,0.001,0.004,5.77,6.51,7.26,140,37.1
030351,SILVER LAKE,7/15/1986,74.82074167,44.23172778,4.66,0.01,12.44,0.099,195,,3.8,0.01,0.012,4.2,4.16,0.92,6.48,0.71,0,15,,0.127,0,0,0,6.48,7.34,7.27,20,73.4
030352,SAMPSON POND,8/16/1985,74.76213056,44.27145,5.21,0,1.52,0.094,87.1,1.45,8.6,0.026,0.033,1,2.88,0.77,1.43,0.3,0,,84,0.57,0.025,0.001,0.005,5.2,6.46,6.87,80,31.1
030353,EGG POND,7/31/1986,74.76879722,44.26367222,2.18,0,0.16,0.056,-134,2,35,0.041,0.042,0,0.69,0.21,0.23,0.09,0,2,,0.008,0,0,0.012,3.82,3.93,3.93,200,51.5
030356,CARTRIDGE HILLS POND,8/5/1986,74.69601389,44.28422778,1.28,0,0.37,0.05,17.8,2.65,23.8,,0.11,2.6,1.16,0.41,0.42,0.93,0.07,,,0.48,0.035,0,0.009,4.95,5.03,5.14,240,16.9
030357,CARTRIDGE HILLS POND,8/5/1986,74.69351389,44.28311667,2.56,,16.76,0.082,11.6,2.49,11,0.051,0.041,1.4,2.41,0.53,10.2,0.25,0.04,52,,0.893,0.072,0,0.006,5.5,5.6,4.97,140,70
030358,CARTRIDGE HILLS POND 3,8/19/1985,74.69156944,44.28283889,2.18,0,0.07,0.026,-22.9,1.27,4.8,0.027,0.02,0.2,0.39,0.1,0.05,0.17,0.02,,13,0.037,0.029,0,0.006,4.65,4.59,4.62,25,15.6
030358B,UNNAMED POND,7/9/1985,74.69629167,44.28867222,5.52,0,46.2,0.107,28.1,0.91,6.5,0.022,0.018,0,2.99,0.58,29.2,0.34,,,65,0.345,0.022,0.001,0,5.89,6.02,6.47,30,171.1
030359,LEM POND,7/17/1986,74.79963056,44.30589444,3.37,0.07,0.21,0.099,49,1.3,28.2,0.025,0.026,7.2,2.45,0.63,0.65,0.27,0.01,274,,1.329,0.008,0,0.01,5.13,5.18,5.24,383,24.1
030360,WOLF POND,8/16/1985,74.81157778,44.30561667,3.53,0,0.23,0.053,-18.3,0.67,2.9,0.034,0.024,0.1,0.8,0.21,0.26,0.33,0,,73,0.133,0.05,0,0.01,5.39,4.76,4.76,30,17.9
030361,BEAVER POND,8/16/1985,74.79963333,44.32978333,5.06,0,0.16,0.117,118.9,2.12,5.5,0.02,0.019,1.6,3,0.78,0.84,0.27,0,,33,0.039,0.011,0.001,0.003,5.48,6.57,7.02,25,27.9
030364,BALSAM POND,7/30/1986,74.75518333,44.25228333,3.9,0.01,22.17,0.063,30.7,0.58,13.2,0.03,0.039,3.3,3.15,0.54,11.76,0.32,0,52,,0.152,0.064,0,0.006,5.13,5.82,5.89,60,99.6
030366,GRASS RIVER FLOW,8/6/1986,74.74435,44.25506111,3.66,0.04,0.88,0.073,132.5,3.07,15.9,0.021,0.02,7.2,3.48,0.77,1,0.27,0.01,147,,1.283,0.075,0,0.014,6.15,6.14,6.79,160,28.4
030367,JOCKS POND,8/5/1985,74.667125,44.28950556,5.96,0,5.75,0.064,192.4,2.72,6.4,0.012,0.017,2.1,5.37,1.52,1.99,0.52,,,47,0.07,0.001,0,0.009,6.67,7.31,7.31,25,54.3
030368,PINE POND,8/5/1985,74.66434722,44.25061667,3.19,0,0.13,0.018,77.6,1.11,5.3,0.01,0.01,0,2.05,0.75,0.08,0.21,,,14,0.013,0,0,0.001,5.68,6.92,6.84,15,18.5
030369,MASSAWEPIE LAKE,8/5/1985,74.662125,44.25006111,5.57,0,1.12,0.061,218.5,2.89,3.7,0.008,0.012,8.2,4.39,1.27,1.53,0.43,,,13,0.103,0.006,0,0.004,5.86,7.75,7.37,15,41.9
030370,CATAMOUNT POND,8/6/1986,74.63962222,44.26756111,4.84,0,4.03,0.058,110.9,3.53,18.1,0.026,0.022,2.9,3.56,0.86,2.12,0.33,0.13,159,,2.509,0.087,0,0.018,6,6.12,6.64,160,40.6
030371,TOWNLINE POND,8/6/1986,74.66517778,44.22700556,4.11,0.01,0.26,0.015,28.7,0.44,3.8,0.005,0.003,0,1.09,0.6,0.09,0.14,0.01,5,,0,0.008,0,0.001,6.14,6.45,6.34,5,13.6
030372,DEER POND,8/5/1985,74.66267778,44.22978333,2.49,0,0.23,0.015,65.7,1.1,3.2,0.015,0.01,0,1.67,0.53,0.2,0.26,,,27,0.02,0.002,0,0.002,5.7,6.86,6.74,5,15.1
030373,HORSESHOE POND,8/5/1985,74.64462222,44.24811667,4.77,0,0.2,0.035,29.6,0.6,5.7,0.01,0.008,0.8,1.77,0.51,0.57,0.3,,,24,0.03,0.005,0,0.002,6.04,6.29,6.4,15,19
030374,BOOTTREE POND,8/5/1985,74.65795556,44.24006111,2.02,0,0.17,0.019,69.9,1.2,4.5,0.007,0.015,0,1.78,0.5,0.1,0.3,,,20,0.021,0.005,0,0.001,6.01,6.69,6.91,15,15.1
030375,BURNTBRIDGE POND,7/26/1984,74.70906944,44.21228333,4.75,0,0.35,0.146,144,1.57,7.4,0.026,0.029,3.7,3.24,0.69,1.04,0.39,0,29,,0.216,0.007,,,6.33,6.58,7.05,70,27.4
030376,CENTER POND,8/13/1985,74.70156944,44.16145,3.05,0,0.21,0.096,115.6,4.77,10,0.031,0.031,3.2,2.56,0.55,1.1,0.34,,,158,0.39,0.23,0,0.007,5.64,5.93,7.07,80,24.1
040111,GRAHAM POND,7/29/1985,75.25353611,44.21367222,6.41,0,0.38,0.057,13,0.34,4.7,0.012,0.009,0.4,1.9,0.5,0.37,0.28,0.02,,68,0.035,0.069,0,0.004,6.52,5.98,6.03,15,20.3
040112,UNNAMED POND,7/28/1986,75.21853611,44.19728611,9.44,0,6.05,0.288,1124,14.04,19.1,0.026,0.025,5.5,15.7,5.2,3.19,0.82,0.01,21,,0.086,0,0,0.001,6.83,7.26,8.02,50,147.8
040113,SNYDER LAKE,7/29/1985,75.23353611,44.20756389,8.75,0,3.98,0.095,1294.7,16.62,4.2,0.003,0.003,6.7,25.62,3.82,2.61,0.55,0,,23,0.05,0.002,0,0,7.9,8.31,8.25,15,154.3
040118,HILLS POND,7/16/1986,75.22825556,44.17895278,2.72,0,0.15,0.037,74.4,5.59,9.3,0.029,0.029,1.9,2.17,0.4,0.31,0.04,0.03,128,,0.275,0.039,0,0.008,5.52,5.63,6.72,80,20.8
040120,PORTAFERRY LAKE,7/29/1985,75.20436944,44.22311667,7.97,0.01,3.04,0.216,400,4.96,4.3,0.006,0.006,4.7,7.75,1.92,2.2,0.52,0.03,,56,0.061,0.003,0,0.005,7.15,7.78,7.78,20,67.5
040122,SMITH POND,8/23/1985,75.22326111,44.24756111,2.54,0,0.36,0.026,29.2,0.3,4.4,0.013,0.012,0,1.29,0.28,0.12,0.45,,,6,0.036,0.019,0,0.004,5.85,6.3,6.25,15,12.8
040123,JONES POND,7/16/1986,75.22909444,44.25561667,12.35,0,2.55,0.088,2671,7.29,3.2,0.013,0.011,4.2,31.92,,1.45,0.89,0,10,,0.028,0.006,0,0,8.23,8.76,8.52,20,
040130,LONG LAKE,7/25/1984,75.20464444,44.16034167,5.47,0,0.21,0.147,33.1,0.7,6.3,0.011,0.013,0.2,2.62,0.42,0.42,0.15,0,54,,0.099,0.014,,,6.2,6.01,6.13,45,19.4
040131,TWIN POND EAST,7/30/1984,75.19325278,44.15534167,2.16,0,0.17,0.153,121.7,2.85,9.1,0.029,,1.6,3.29,0.44,0.42,0.2,0,67,,1.28,0.098,,,5.95,6.12,6.93,110,22.6
040132,TWIN POND WEST,7/30/1984,75.19436389,44.15645278,2.63,0,0.17,0.243,114.8,2.44,9.5,0.039,,1.5,3.27,0.45,0.42,0.18,0,74,,0.485,0.068,,,,6.16,6.92,140,23.2
040133,SPIDER POND,7/28/1986,75.17881111,44.17339722,2.73,0,0.19,0.115,30.7,4.44,12.8,0.02,,2.9,1.75,0.19,0.31,0.04,0,287,,0.686,0.033,0,0.015,4.99,5.19,5.58,120,17.4
040134,BEAR LAKE,7/29/1985,75.16408611,44.156175,3.26,0,0.13,0.223,46.1,0.79,,0.016,0.014,0.1,2.37,0.29,0.43,0.19,0.02,,132,0.91,0.03,0.002,0.005,6.04,6.21,6.55,80,17.9
040135,THE GULF,7/30/1984,75.177975,44.13923056,3.77,0.1,0.33,0.207,76.7,1.13,7.4,0.023,,3.3,2.81,0.48,0.78,0.19,0.03,115,,0.425,0.064,,,5.98,6.29,6.73,90,23.5
040136,DRY TIMBER LAKE,7/25/1984,75.15575278,44.14673056,3.55,0.02,0.3,0.22,29.3,0.9,11.7,0.015,0.013,2.6,1.96,0.37,0.57,0.13,0.1,246,,0.95,0.036,,,5.5,5.58,5.76,180,17.4
040137,ROCK LAKE,7/29/1985,75.140475,44.16645278,5.2,0,0.23,0.145,23.7,0.67,5.7,0.011,0.01,0.1,1.83,0.32,0.58,0.1,0.02,,127,0.228,0.027,0,0.005,5.83,5.85,6.03,35,17.9
040138,JENNY LAKE,7/25/1984,75.22242222,44.16673056,4.85,0,0.22,0.2,243.3,3.01,10,0.017,0.017,2.5,5.51,1.23,0.73,0.27,0,46,,1.17,0.007,,,6.43,6.93,7.3,140,36.9
040144,BIG HILL POND,7/29/1985,75.275475,44.12978611,5.16,0,0.47,0.061,94.2,1.7,8.6,0.015,0.014,0.3,2.89,0.58,0.54,0.71,0.01,,67,0.186,0.081,0,0.004,6.35,6.51,6.95,55,25.2
040145,GOOSE POND,8/6/1985,75.28158889,44.14811944,1.73,0,0.34,0.038,34.6,0.45,10.7,0.095,0.112,0,1.73,0.35,0.26,0.52,,,40,0.119,0.031,0,0.001,6.28,6.18,6.52,80,14
040145A,UNNAMED POND,7/16/1986,75.26047778,44.14284167,2.34,0,0.11,0.071,111.7,6.1,10,,0.031,0.6,2.68,0.35,0.16,0.02,0,38,,0.58,0.143,0,0.004,5.71,5.86,6.99,80,22.2
040146,SOUTH CREEK LAKE,7/25/1984,75.22214167,44.11895278,5.52,0,0.28,0.296,128.2,1.73,,0.016,0.017,4.3,3.88,0.83,0.9,0.36,0,103,,0.41,0.053,,,6.18,6.44,6.74,110,28.3
040147A,UNNAMED POND,7/16/1986,75.30214167,44.12589722,1.92,0.03,0.23,0.044,229.9,4.63,11.6,0.088,0.091,2.2,3.67,0.92,0.48,0.3,0.04,53,,0.76,0.091,0,0.005,6.3,6.48,7.37,90,34.7
040152,ELIJAH LAKE,7/29/1985,75.23991944,44.09756389,6.53,0.16,0.36,0.124,22.8,0.41,,0.002,0.002,2.5,2.61,0.4,0.57,0.28,0.03,,91,0.056,0.047,0.001,0.011,5.88,6.1,6.22,10,24.8
040153,LITTLE SILVER DAWN LAKE,7/16/1986,75.20352778,44.08006389,3.23,0.02,0.17,0.133,22.8,1.56,12.3,0.039,0.048,1.8,1.51,0.31,0.5,0.11,0.02,285,,1.038,0.082,0,0.008,5.27,5.4,5.63,175,18
